price,date
1150000,2020-10-25 00:00:00
1110000,2020-10-25 00:00:00
1039999,2020-10-25 00:00:00
1013835,2020-10-25 00:00:00
1155000,2020-10-25 00:00:00
1175000,2020-10-25 00:00:00
1550000,2020-10-25 00:00:00
1295000,2020-10-25 00:00:00
1100000,2020-10-25 00:00:00
1024011,2020-10-25 00:00:00
1100000,2020-10-25 00:00:00
1059376,2020-10-25 00:00:00
1100000,2020-10-25 00:00:00
1040000,2020-10-25 00:00:00
1000000,2020-10-25 00:00:00
700000,2020-10-25 00:00:00
2430000,2020-10-25 00:00:00
2400000,2020-10-25 00:00:00
1160000,2020-10-25 00:00:00
700000,2020-10-25 00:00:00
2335000,2020-10-25 00:00:00
1222787,2020-10-25 00:00:00
1222787,2020-10-25 00:00:00
670000,2020-10-25 00:00:00
1600000,2020-10-25 00:00:00
997437,2020-10-25 00:00:00
2435000,2020-10-25 00:00:00
2610000,2020-10-25 00:00:00
775000,2020-10-25 00:00:00
1650000,2020-10-25 00:00:00
1580609,2020-10-25 00:00:00
1530000,2020-10-25 00:00:00
1490000,2020-10-25 00:00:00
1300000,2020-10-25 00:00:00
1500000,2020-10-25 00:00:00
1429095,2020-10-25 00:00:00
1950000,2020-10-25 00:00:00
1500000,2020-10-25 00:00:00
1850000,2020-10-25 00:00:00
1370000,2020-10-25 00:00:00
1600000,2020-10-25 00:00:00
1875000,2020-10-25 00:00:00
1345000,2020-10-25 00:00:00
1475000,2020-10-25 00:00:00
1735000,2020-10-25 00:00:00
1530000,2020-10-25 00:00:00
1438000,2020-10-25 00:00:00
1426367,2020-10-25 00:00:00
1441466,2020-10-25 00:00:00
1649395,2020-10-25 00:00:00
890000,2020-10-25 00:00:00
1420000,2020-10-25 00:00:00
920000,2020-10-25 00:00:00
1609390,2020-10-25 00:00:00
1300000,2020-10-25 00:00:00
905000,2020-10-25 00:00:00
1000000,2020-10-25 00:00:00
1435305,2020-10-25 00:00:00
1400000,2020-10-25 00:00:00
1397025,2020-10-25 00:00:00
1441446,2020-10-25 00:00:00
1560000,2020-10-25 00:00:00
1583190,2020-10-25 00:00:00
23555000,2020-02-09 00:00:00
2300000,2020-02-09 00:00:00
400000,2020-02-09 00:00:00
5100000,2020-02-09 00:00:00
1407079,2020-02-09 00:00:00
1405817,2020-02-09 00:00:00
1650000,2020-02-09 00:00:00
7855,2020-02-09 00:00:00
1476607,2020-02-09 00:00:00
45817,2020-02-09 00:00:00
950000,2020-02-09 00:00:00
1000000,2020-02-09 00:00:00
1800000,2020-02-09 00:00:00
1540000,2020-02-09 00:00:00
735000,2020-02-09 00:00:00
3750000,2020-02-09 00:00:00
3800000,2020-02-09 00:00:00
2000000,2020-02-09 00:00:00
1290000,2020-02-09 00:00:00
790000,2020-02-09 00:00:00
850000,2020-02-09 00:00:00
615600,2020-02-09 00:00:00
820000,2020-02-09 00:00:00
650000,2020-02-09 00:00:00
3475000,2020-07-23 00:00:00
3200000,2020-07-23 00:00:00
2744445,2020-07-23 00:00:00
1315000,2020-07-23 00:00:00
770000,2020-07-23 00:00:00
1056904,2020-07-23 00:00:00
1900000,2020-07-23 00:00:00
1792511,2020-02-10 00:00:00
510000,2020-07-24 00:00:00
2125000,2020-07-24 00:00:00
5800000,2020-10-26 00:00:00
3145000,2020-10-26 00:00:00
3725000,2020-10-26 00:00:00
3720000,2020-10-26 00:00:00
3050000,2020-10-26 00:00:00
2560000,2020-10-26 00:00:00
1950000,2020-10-26 00:00:00
1900000,2020-10-26 00:00:00
2300000,2020-10-26 00:00:00
300000,2020-10-26 00:00:00
590000,2020-10-26 00:00:00
2470000,2020-10-26 00:00:00
600000,2020-10-26 00:00:00
2470000,2020-10-26 00:00:00
585000,2020-10-26 00:00:00
840000,2020-10-26 00:00:00
2810000,2020-10-26 00:00:00
4840000,2020-10-26 00:00:00
2820000,2020-10-26 00:00:00
2100000,2020-10-26 00:00:00
670000,2020-10-26 00:00:00
900000,2020-10-26 00:00:00
1640000,2020-10-26 00:00:00
2740000,2020-10-26 00:00:00
2689000,2020-10-26 00:00:00
2689000,2020-10-26 00:00:00
1830000,2020-10-26 00:00:00
1837500,2020-10-26 00:00:00
60300,2020-10-26 00:00:00
163975,2020-10-26 00:00:00
1200000,2020-10-26 00:00:00
2550000,2020-10-26 00:00:00
2430000,2020-10-26 00:00:00
900000,2020-10-26 00:00:00
2600000,2020-10-26 00:00:00
2800000,2020-10-26 00:00:00
2620000,2020-10-26 00:00:00
350000,2020-10-26 00:00:00
887400,2020-10-26 00:00:00
900000,2020-10-26 00:00:00
980000,2020-10-26 00:00:00
910000,2020-10-26 00:00:00
480000,2020-10-26 00:00:00
960000,2020-10-26 00:00:00
555000,2020-10-26 00:00:00
550000,2020-10-26 00:00:00
1995000,2020-10-26 00:00:00
40000,2020-10-26 00:00:00
1860000,2020-10-26 00:00:00
1950000,2020-10-26 00:00:00
1740000,2020-10-26 00:00:00
1920000,2020-10-26 00:00:00
2000000,2020-10-26 00:00:00
2200000,2020-10-26 00:00:00
2000000,2020-10-26 00:00:00
1520000,2020-10-26 00:00:00
1285000,2020-10-26 00:00:00
1058546,2020-10-26 00:00:00
712319,2020-10-26 00:00:00
1530000,2020-10-26 00:00:00
695000,2020-10-26 00:00:00
1285000,2020-10-26 00:00:00
1310000,2020-10-26 00:00:00
1370000,2020-10-26 00:00:00
1395395,2020-10-26 00:00:00
1330000,2020-10-26 00:00:00
1200000,2020-10-26 00:00:00
1270000,2020-10-26 00:00:00
1638000,2020-10-26 00:00:00
1070000,2020-10-26 00:00:00
1100000,2020-10-26 00:00:00
1029790,2020-10-26 00:00:00
1032493,2020-10-26 00:00:00
1386000,2020-10-26 00:00:00
1071003,2020-10-26 00:00:00
1214142,2020-10-26 00:00:00
1500000,2020-10-26 00:00:00
1050000,2020-10-26 00:00:00
1214142,2020-10-26 00:00:00
1050000,2020-10-26 00:00:00
1462000,2020-10-26 00:00:00
1214142,2020-10-26 00:00:00
1245631,2020-10-26 00:00:00
1418719,2020-10-26 00:00:00
1450000,2020-10-26 00:00:00
1400000,2020-10-26 00:00:00
1617000,2020-10-26 00:00:00
1680884,2020-10-26 00:00:00
1441466,2020-10-26 00:00:00
1435305,2020-10-26 00:00:00
1609390,2020-10-26 00:00:00
1446455,2020-10-26 00:00:00
960000,2020-07-26 00:00:00
935000,2020-07-26 00:00:00
1027815,2020-07-26 00:00:00
50000,2020-07-26 00:00:00
1075000,2020-07-26 00:00:00
2200000,2020-07-26 00:00:00
10000000,2020-02-11 00:00:00
338945000,2020-02-11 00:00:00
950000,2020-02-11 00:00:00
66500,2020-02-11 00:00:00
527741,2020-02-11 00:00:00
2315000,2020-02-11 00:00:00
1436109,2020-02-11 00:00:00
1900000,2020-02-11 00:00:00
412000,2020-02-11 00:00:00
960000,2020-02-11 00:00:00
1250000,2020-02-11 00:00:00
2200000,2020-02-11 00:00:00
3678000,2020-02-11 00:00:00
4522000,2020-02-11 00:00:00
3285000,2020-02-11 00:00:00
3360000,2020-02-11 00:00:00
3135000,2020-02-11 00:00:00
4400000,2020-02-11 00:00:00
2975000,2020-02-11 00:00:00
1650000,2020-02-11 00:00:00
1550000,2020-02-11 00:00:00
1340000,2020-02-11 00:00:00
4522000,2020-07-27 00:00:00
2020000,2020-07-27 00:00:00
2728000,2020-07-27 00:00:00
2525000,2020-07-27 00:00:00
1012124,2020-07-27 00:00:00
837000,2020-07-27 00:00:00
795000,2020-07-27 00:00:00
1250000,2020-07-27 00:00:00
375000,2020-02-20 00:00:00
1910000,2020-02-20 00:00:00
1270000,2020-02-20 00:00:00
1837000,2020-02-20 00:00:00
1160000,2020-02-20 00:00:00
227501,2020-02-20 00:00:00
3700000,2020-08-04 00:00:00
1030000,2020-08-04 00:00:00
660000,2020-08-04 00:00:00
685237,2020-08-04 00:00:00
685237,2020-08-04 00:00:00
3478000,2020-08-04 00:00:00
2450000,2020-08-04 00:00:00
2338610,2020-08-04 00:00:00
1035000,2020-08-04 00:00:00
1040000,2020-08-04 00:00:00
1350000,2020-08-04 00:00:00
1600000,2020-08-04 00:00:00
1250000,2020-08-04 00:00:00
1200000,2020-08-04 00:00:00
1325000,2020-08-04 00:00:00
1880000,2020-08-04 00:00:00
975943,2020-08-05 00:00:00
1066447,2020-08-05 00:00:00
1004878,2020-08-05 00:00:00
3000000,2020-08-05 00:00:00
4300000,2020-08-05 00:00:00
1360000,2020-08-05 00:00:00
5215000,2020-02-24 00:00:00
800000,2020-02-24 00:00:00
827200,2020-02-24 00:00:00
2100000,2020-02-24 00:00:00
1330000,2020-02-24 00:00:00
1420000,2020-02-24 00:00:00
1300000,2020-02-24 00:00:00
1560000,2020-02-24 00:00:00
1560000,2020-02-24 00:00:00
1410000,2020-11-05 00:00:00
657700,2020-11-05 00:00:00
550000,2020-11-05 00:00:00
3650000,2020-11-05 00:00:00
550000,2020-11-05 00:00:00
3300000,2020-11-05 00:00:00
1750000,2020-11-05 00:00:00
2850000,2020-11-05 00:00:00
3360000,2020-11-05 00:00:00
3265896,2020-11-05 00:00:00
70000,2020-11-05 00:00:00
3560000,2020-11-05 00:00:00
3626736,2020-11-05 00:00:00
3750000,2020-11-05 00:00:00
3730999,2020-11-05 00:00:00
3300000,2020-11-05 00:00:00
2900000,2020-11-05 00:00:00
680000,2020-11-05 00:00:00
3360000,2020-11-05 00:00:00
2900000,2020-11-05 00:00:00
3550000,2020-11-05 00:00:00
1500000,2020-11-05 00:00:00
1600000,2020-11-05 00:00:00
450000,2020-11-05 00:00:00
1590000,2020-11-05 00:00:00
1700000,2020-11-05 00:00:00
450000,2020-11-05 00:00:00
1600000,2020-11-05 00:00:00
256061,2020-11-05 00:00:00
230709,2020-11-05 00:00:00
1070000,2020-11-05 00:00:00
1600000,2020-11-05 00:00:00
910000,2020-11-05 00:00:00
2175800,2020-11-05 00:00:00
2679000,2020-11-05 00:00:00
1440000,2020-11-05 00:00:00
2025000,2020-11-05 00:00:00
1470000,2020-11-05 00:00:00
1540000,2020-11-05 00:00:00
2100000,2020-11-05 00:00:00
1450000,2020-11-05 00:00:00
1024026,2020-11-05 00:00:00
1015000,2020-11-05 00:00:00
1000000,2020-11-05 00:00:00
930000,2020-11-05 00:00:00
1139000,2020-11-05 00:00:00
2085000,2020-11-05 00:00:00
1051484,2020-11-05 00:00:00
1960000,2020-11-05 00:00:00
1049646,2020-11-05 00:00:00
1049646,2020-11-05 00:00:00
1585896,2020-11-05 00:00:00
1600000,2020-11-05 00:00:00
1643388,2020-11-05 00:00:00
1550000,2020-11-05 00:00:00
1300000,2020-11-05 00:00:00
2500000,2020-11-05 00:00:00
400000,2020-11-05 00:00:00
560000,2020-11-05 00:00:00
835000,2020-11-05 00:00:00
3950000,2020-11-05 00:00:00
790000,2020-11-05 00:00:00
1870000,2020-11-05 00:00:00
1727000,2020-11-05 00:00:00
2138751,2020-11-05 00:00:00
525000,2020-11-05 00:00:00
1074704,2020-11-05 00:00:00
1850000,2020-11-05 00:00:00
1550000,2020-11-05 00:00:00
1074704,2020-11-05 00:00:00
1880000,2020-11-05 00:00:00
1735000,2020-11-05 00:00:00
1715000,2020-11-05 00:00:00
3550000,2020-11-05 00:00:00
3550000,2020-11-05 00:00:00
1540000,2020-11-05 00:00:00
370000,2020-11-05 00:00:00
1790000,2020-11-05 00:00:00
3550000,2020-11-05 00:00:00
580000,2020-11-05 00:00:00
